Iteratie: 1
Epoca 0: tensor(3.9185, grad_fn=<DivBackward0>)
Epoca 1: tensor(3.6910, grad_fn=<DivBackward0>)
Epoca 2: tensor(3.2932, grad_fn=<DivBackward0>)
Epoca 3: tensor(2.9439, grad_fn=<DivBackward0>)
Epoca 4: tensor(2.7621, grad_fn=<DivBackward0>)
Epoca 5: tensor(2.6505, grad_fn=<DivBackward0>)
Epoca 6: tensor(2.5808, grad_fn=<DivBackward0>)
Epoca 7: tensor(2.5406, grad_fn=<DivBackward0>)
Epoca 8: tensor(2.4784, grad_fn=<DivBackward0>)
Epoca 9: tensor(2.4597, grad_fn=<DivBackward0>)
Iteratie: 2
Epoca 0: tensor(3.0350, grad_fn=<DivBackward0>)
Epoca 1: tensor(2.6793, grad_fn=<DivBackward0>)
Epoca 2: tensor(2.5061, grad_fn=<DivBackward0>)
Epoca 3: tensor(2.4528, grad_fn=<DivBackward0>)
Epoca 4: tensor(2.3701, grad_fn=<DivBackward0>)
Epoca 5: tensor(2.3039, grad_fn=<DivBackward0>)
Epoca 6: tensor(2.2572, grad_fn=<DivBackward0>)
Epoca 7: tensor(2.2345, grad_fn=<DivBackward0>)
Epoca 8: tensor(2.2216, grad_fn=<DivBackward0>)
Epoca 9: tensor(2.1763, grad_fn=<DivBackward0>)
Iteratie: 3
Epoca 0: tensor(2.8280, grad_fn=<DivBackward0>)
Epoca 1: tensor(2.5153, grad_fn=<DivBackward0>)
Epoca 2: tensor(2.3661, grad_fn=<DivBackward0>)
Epoca 3: tensor(2.2631, grad_fn=<DivBackward0>)
Epoca 4: tensor(2.2079, grad_fn=<DivBackward0>)
Epoca 5: tensor(2.1724, grad_fn=<DivBackward0>)
Epoca 6: tensor(2.1169, grad_fn=<DivBackward0>)
Epoca 7: tensor(2.0910, grad_fn=<DivBackward0>)
Epoca 8: tensor(2.0676, grad_fn=<DivBackward0>)
Epoca 9: tensor(2.0420, grad_fn=<DivBackward0>)
Iteratie: 4
Epoca 0: tensor(2.5441, grad_fn=<DivBackward0>)
Epoca 1: tensor(2.2383, grad_fn=<DivBackward0>)
Epoca 2: tensor(2.1257, grad_fn=<DivBackward0>)
Epoca 3: tensor(2.0648, grad_fn=<DivBackward0>)
Epoca 4: tensor(2.0332, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.9940, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.9845, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.9331, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.8922, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.8742, grad_fn=<DivBackward0>)
Iteratie: 5
Epoca 0: tensor(2.6064, grad_fn=<DivBackward0>)
Epoca 1: tensor(2.2639, grad_fn=<DivBackward0>)
Epoca 2: tensor(2.1301, grad_fn=<DivBackward0>)
Epoca 3: tensor(2.0659, grad_fn=<DivBackward0>)
Epoca 4: tensor(2.0095, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.9594, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.9457, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.9211, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.8990, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.8885, grad_fn=<DivBackward0>)
Iteratie: 6
Epoca 0: tensor(2.5341, grad_fn=<DivBackward0>)
Epoca 1: tensor(2.1937, grad_fn=<DivBackward0>)
Epoca 2: tensor(2.0790, grad_fn=<DivBackward0>)
Epoca 3: tensor(2.0000, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.9456, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.9061, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.8760, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.8663, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.8293, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.8081, grad_fn=<DivBackward0>)
Iteratie: 8
Epoca 0: tensor(2.4125, grad_fn=<DivBackward0>)
Epoca 1: tensor(2.0699, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.9464, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.8720, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.8332, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.7943, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.7809, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.7503, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.7225, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.7090, grad_fn=<DivBackward0>)
Iteratie: 9
Epoca 0: tensor(2.3901, grad_fn=<DivBackward0>)
Epoca 1: tensor(2.0775, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.9413, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.8693, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.8248, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.7966, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.7652, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.7541, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.7453, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.7295, grad_fn=<DivBackward0>)
Iteratie: 10
Epoca 0: tensor(2.2409, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.9467, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.8610, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.8047, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.7626, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.7314, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.7106, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.7101, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6998, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6805, grad_fn=<DivBackward0>)
Iteratie: 11
Epoca 0: tensor(2.2918, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.9906, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.8710, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.8545, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.8240, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.7543, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.7061, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6795, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6721, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6610, grad_fn=<DivBackward0>)
Iteratie: 12
Epoca 0: tensor(2.2068, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.9387, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.8341, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7811, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.7453, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.7231, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.7109, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6750, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6552, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6458, grad_fn=<DivBackward0>)
Iteratie: 13
Epoca 0: tensor(2.2807, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.9798, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.8825, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.8147, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.7782, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.7480, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.7200, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.7101, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.7063, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6810, grad_fn=<DivBackward0>)
Iteratie: 14
Epoca 0: tensor(2.1956, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.9278, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.8219, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7588, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.7198, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6951, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6703, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6502, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6430, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6462, grad_fn=<DivBackward0>)
Iteratie: 15
Epoca 0: tensor(2.2803, grad_fn=<DivBackward0>)
Epoca 1: tensor(2.0159, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.9095, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.8404, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.8004, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.7613, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.7385, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.7149, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6801, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6602, grad_fn=<DivBackward0>)
Iteratie: 16
Epoca 0: tensor(2.1288, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8827, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7722, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7120, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6735, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6488, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6349, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6154, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6008, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5921, grad_fn=<DivBackward0>)
Iteratie: 17
Epoca 0: tensor(2.0811, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8296, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7296, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6898, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6480, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6309, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6107, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5919, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5855, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5835, grad_fn=<DivBackward0>)
Iteratie: 18
Epoca 0: tensor(2.0424, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8001, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7009, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6506, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6081, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.5844, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.5743, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5634, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5567, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5522, grad_fn=<DivBackward0>)
Iteratie: 19
Epoca 0: tensor(2.1178, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8777, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7689, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7018, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6628, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6255, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6044, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5905, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5919, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5997, grad_fn=<DivBackward0>)
Iteratie: 20
Epoca 0: tensor(1.9599, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8109, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7289, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6949, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6671, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6321, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6175, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6695, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6302, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6233, grad_fn=<DivBackward0>)
Iteratie: 21
Epoca 0: tensor(1.8842, grad_fn=<DivBackward0>)
